config_id,plant,NH4NO3_mg_L,KNO3_mg_L,CaCl2_2H2O_mg_L,MgSO4_7H2O_mg_L,KH2PO4_mg_L,luminosity_umol_m2_s,temp_C,humidity_%,stem,leaves,leafArea,branch,protein
1,lupino,2400,950,330,462,128,950,28.913239246272145,43.371019912227474,11.4356302726675,8.15857317861173,23.748823888350362,6.259764740308009,40.131862833594255
1,lupino,2400,950,330,462,128,950,27.49352173767665,78.59436694195074,10.63792107449427,8.107612468022698,24.386354886698637,2.8768096134616927,39.885788145362945
1,lupino,2400,950,330,462,128,650,26.995163207775672,79.75305966132922,12.817102440172583,6.380143659352061,24.510826132005196,2.4609898173251725,40.048221854390704
1,lupino,2400,950,330,462,128,200,24.582877081016605,79.95583316736845,11.33180838068341,6.265290171045782,23.41222136855115,4.625068523092544,39.85695041283687
1,lupino,2400,950,330,462,128,950,29.914009156658324,64.36515077288296,12.385412371366924,7.693624541980343,22.69695204613389,4.310881187738177,40.4860532927695
1,lupino,2400,950,330,462,128,350,20.783384190788723,52.912778376108335,10.031801070475133,6.913034426179535,23.737623733619735,3.4654257462422025,38.44575040603054
1,lupino,2400,950,330,462,128,800,28.129189930529023,54.62582968470244,12.21272892908979,6.0532273018712015,22.012154050823828,4.305521447740983,40.64091714442414
1,lupino,2400,950,330,462,128,800,26.422331121500488,60.54359070331959,12.867549158080722,7.560146554411403,20.411827199623932,2.6691198986602362,41.84050712325927
1,lupino,2400,950,330,462,128,200,22.35019027123576,77.93869701341245,10.837811456951341,7.847281946943756,18.705406246657517,4.574331283835064,39.375426907547904
1,lupino,2400,950,330,462,128,500,24.616531879537078,59.20572240577228,10.817669533504752,7.807873036106854,22.864842960229467,3.3263177580664065,39.682573238396714
2,lupino,2000,950,220,370,85,350,27.656506312130322,54.38284579053879,11.352361240446537,5.870188250004853,19.66113792698451,3.2414100469705875,42.182396557330264
2,lupino,2000,950,220,370,85,950,25.571341465630415,41.23794106152978,13.198155687017511,6.645049403437918,23.868183094087602,5.5361430445449304,39.211946294556924
2,lupino,2000,950,220,370,85,500,20.992953619240367,51.088700089887425,13.207726954974364,6.874079777682414,18.550536486122706,6.262231080733642,40.31974919696152
2,lupino,2000,950,220,370,85,350,21.561534908425166,58.86914429733047,11.711507529537393,7.138152125582406,21.446473851996586,2.926333532246327,37.901212496310364
2,lupino,2000,950,220,370,85,500,24.278630467354297,50.18304861876085,14.115841066489537,5.96529022062996,24.22844869435352,4.327886952610461,38.81026184701021
2,lupino,2000,950,220,370,85,800,20.275614458488615,76.38377528406772,9.783165536535112,6.2874282834822655,20.443505789520188,5.542872375386311,39.60858386077872
2,lupino,2000,950,220,370,85,500,22.42081719570894,43.90212061030027,11.160146071873152,5.930396490154855,21.636752850289298,5.242468839459891,39.267150380960665
2,lupino,2000,950,220,370,85,800,24.774303488477862,41.10983876267313,12.66851914022625,6.1093884975067665,24.578193710755396,3.2608115973859917,40.51821023939018
2,lupino,2000,950,220,370,85,800,25.53934703795921,58.60276217449595,12.403380952258956,7.292097998615169,24.243591651351807,3.215488919528586,40.20350077716982
2,lupino,2000,950,220,370,85,350,21.958120683820304,74.85360542661448,13.107594288576884,6.388963256808771,16.72290127681596,3.068681717546335,39.617929224816024
3,lupino,800,1400,550,185,170,350,20.377783896800764,73.87960583062626,11.837017109090079,6.555888179900339,17.52634328693795,4.666874359036244,39.587391395778475
3,lupino,800,1400,550,185,170,200,28.667448097096663,74.81605915677,14.456556569731612,5.423131655900222,22.909277162159196,4.97294382542958,40.51158547682866
3,lupino,800,1400,550,185,170,500,29.020375820033784,44.500516499345956,9.914148179080268,5.593980786849043,26.11477011396424,3.619529031915352,40.59329200303946
3,lupino,800,1400,550,185,170,800,20.075318264968992,70.27039654280017,11.384767844445344,7.096350550333938,26.136076042921474,4.621868001775061,41.44999503908449
3,lupino,800,1400,550,185,170,350,27.99275253202069,76.25900954847468,13.124490602576142,6.241537909750776,20.14938461661124,2.611642716483752,40.168965362033774
3,lupino,800,1400,550,185,170,800,28.07216183935295,64.93879092422503,12.792426152975224,7.173553832572424,22.600624971811655,5.936890003149447,39.16220407349649
3,lupino,800,1400,550,185,170,800,22.04866484269848,57.22063843022103,11.238434547905376,6.913577966604441,20.668142589251076,2.7613525737554205,41.16775655460524
3,lupino,800,1400,550,185,170,200,27.06782313016118,71.98747990369031,13.888940444925119,6.879206070686509,22.30919663575618,2.9904652813530097,41.12985268836804
3,lupino,800,1400,550,185,170,200,28.60346050157299,60.8923595530819,11.135849535924727,6.9018621269048746,20.42635005395842,2.6792553487536788,39.97893546770802
3,lupino,800,1400,550,185,170,650,22.839035018124772,48.72189574654925,12.003900939707373,7.6415228853573325,25.103920158575363,3.534723627963898,40.25164445035032
4,lupino,1600,950,330,185,170,950,28.563407449902073,64.7484523309474,9.157263839041244,7.338188989893141,26.099858939237684,5.452124408327544,39.878102950838965
4,lupino,1600,950,330,185,170,200,21.67574297883972,68.91910426888276,15.20190546029479,6.320495341257389,21.653025707961465,2.684580877060007,39.563529266454886
4,lupino,1600,950,330,185,170,650,28.04336147245027,71.49122947640501,9.847474956904096,6.0972625334999515,21.997499818015882,3.953630600353283,38.69743052426756
4,lupino,1600,950,330,185,170,350,25.029068977409366,50.76648393082247,14.826119557729273,5.964037833207816,25.2449042268826,5.145867707375117,41.179690517819175
4,lupino,1600,950,330,185,170,650,24.972458971962794,48.161906023027846,8.762416525433023,6.741704518196928,27.94279897825891,2.9553928428982146,39.89012545625798
4,lupino,1600,950,330,185,170,350,20.027188760500636,70.11169437973555,11.038555348695375,7.472456829539041,19.800964265663808,3.989687471641036,38.52450954685611
4,lupino,1600,950,330,185,170,950,21.84448752022743,77.42399234321971,9.073089650574687,7.49279274279193,22.25591514944173,3.26856027824243,39.03178519504196
4,lupino,1600,950,330,185,170,650,22.77086517030693,64.27615623096493,16.971850901436007,7.020509305407,19.04116557790756,2.122786667941867,39.144977925157974
4,lupino,1600,950,330,185,170,800,23.531322902632134,49.65311725939579,11.955810757519133,7.243102638069356,25.989448392880192,3.143482610877337,39.70703241347754
4,lupino,1600,950,330,185,170,950,26.41435139174954,78.930051630082,14.395061495854076,6.612072202780222,24.257211900974696,3.302544735601147,40.861090551502315
5,lupino,2400,2350,330,555,170,650,21.21771847109253,57.946531335979955,15.391376072364807,6.936202063335032,21.714537647673918,2.3486397660788256,40.26964243401448
5,lupino,2400,2350,330,555,170,350,21.392986613358946,70.06885315176902,11.402749302026788,7.88901146769874,23.695594816557215,2.4249570512654666,41.332139003068896
5,lupino,2400,2350,330,555,170,350,24.36791197186274,44.010915375735195,12.03849517381657,6.714658508353715,23.27387566964809,4.842021329417262,39.374538668921716
5,lupino,2400,2350,330,555,170,800,25.058121124715328,44.77720075199757,11.341667280350968,6.688493626030644,23.144958807448845,3.8772628751765503,40.042561130544215
