config_id,plant,NH4NO3_mg_L,KNO3_mg_L,CaCl2_2H2O_mg_L,MgSO4_7H2O_mg_L,KH2PO4_mg_L,luminosity_umol_m2_s,temp_C,humidity_%,stem,leaves,leafArea,branch,protein
1,soja,1200,2850,660,185,128,500,29.447017773650785,46.180448046325715,15.185964501336045,5.155334718418203,22.49924840867896,6.925084715193469,35.57049720618261
1,soja,1200,2850,660,185,128,500,26.709305696548014,47.97589564771444,15.93567507870745,4.875605751657274,23.992938047470762,4.322288391830515,35.730922659240996
1,soja,1200,2850,660,185,128,650,23.837516665362887,75.31896827657445,15.25340382705718,5.7699779678255085,20.13474819508531,6.917680869758925,37.71851738598845
1,soja,1200,2850,660,185,128,800,21.112664787628542,55.75420224225808,14.703162411061717,4.842820018510349,17.893444851776756,4.779790242849127,34.776580244468
1,soja,1200,2850,660,185,128,650,29.509663783794217,77.67673573640343,16.368881196531003,5.011184567945427,14.928563669125511,5.267200843554191,35.37725513956966
1,soja,1200,2850,660,185,128,500,22.228081535753358,62.42457025028546,17.810414221996396,4.573338940474343,20.744325766340516,4.782861989162568,37.56166382242257
1,soja,1200,2850,660,185,128,800,22.93500753652608,57.316726368742465,14.325393765749258,3.5807784195954175,17.24682992077152,2.3234744000510386,36.59440966103528
1,soja,1200,2850,660,185,128,200,29.03967295648352,72.2401885446348,13.808733988249891,4.448808209944647,19.65889733054547,5.970304385517307,34.975976197290294
1,soja,1200,2850,660,185,128,200,22.344844851662543,70.50205880977639,15.313298444382424,4.813363849517111,18.93247079959715,4.517719212053717,35.51889610574672
1,soja,1200,2850,660,185,128,200,27.276105939078505,70.78588383769095,17.420150175525233,4.947616998509599,23.29960152713364,3.166728577893156,34.69984330031133
2,soja,2000,1400,660,277,170,500,21.47787813947638,40.71842033996048,14.552751942339865,5.02504409307302,20.060521919236063,5.929315137056064,35.27751784079563
2,soja,2000,1400,660,277,170,500,20.262477006785357,57.560532885675514,13.461377715354077,5.584307004285181,18.93899677578694,6.081726282128699,38.72204866546067
2,soja,2000,1400,660,277,170,500,22.322416177658727,75.09267122604489,15.895413707556592,5.22471565520475,14.582581014335581,3.726710220771488,35.189547744101276
